Product Item ID,Created By ID,Created Date,Deleted,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Location ID,Owner ID,Product ID,Product Item Number,Product Name,Quantity On Hand,Quantity Unit Of Measure,Serial Number,Serialized,System Modstamp
"0CoIS000000g08C0AQ","005IS000000hmTAYAY","03/18/2024T03:20:18.000Z","false","005IS000000hmTAYAY","03/18/2024T03:20:18.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoYYAQ","PI-0935","키보드 F99","1.0","","lerlejojdildmf44","false","03/18/2024T03:20:18.000Z"
"0CoIS000000g07t0AA","005IS000000hmTAYAY","03/18/2024T03:14:44.000Z","false","005IS000000hmTAYAY","03/18/2024T03:14:44.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyodYAA","PI-0895","2024 그램16","1.0","","123q","false","03/18/2024T03:14:44.000Z"
"0CoIS000000g07u0AA","005IS000000hmTAYAY","03/18/2024T03:14:44.000Z","false","005IS000000hmTAYAY","03/18/2024T03:14:44.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyodYAA","PI-0896","2024 그램16","1.0","","123qe","false","03/18/2024T03:14:44.000Z"
"0CoIS000000g08R0AQ","005IS000000hmTAYAY","03/18/2024T03:20:17.000Z","false","005IS000000hmTAYAY","03/18/2024T03:20:17.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoIYAQ","PI-0933","아이디어패드 Slim3","1.0","","wjsdbwjbsknksd","false","03/18/2024T03:20:17.000Z"
"0CoIS000000g08h0AA","005IS000000hmTAYAY","03/18/2024T03:20:17.000Z","false","005IS000000hmTAYAY","03/18/2024T03:20:17.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoIYAQ","PI-0934","아이디어패드 Slim3","1.0","","wjsdbwjbsknksdffe","false","03/18/2024T03:20:17.000Z"
"0CoIS000000g08T0AQ","005IS000000hmTAYAY","03/18/2024T03:19:25.000Z","false","005IS000000hmTAYAY","03/18/2024T03:19:25.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoNYAQ","PI-0930","2024 그램15","1.0","","12sdsdsdsdsd","false","03/18/2024T03:19:25.000Z"
"0CoIS000000g08U0AQ","005IS000000hmTAYAY","03/18/2024T03:19:25.000Z","false","005IS000000hmTAYAY","03/18/2024T03:19:25.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoNYAQ","PI-0931","2024 그램15","1.0","","12sdsdsdsdsdtt","false","03/18/2024T03:19:25.000Z"
"0CoIS000000g08V0AQ","005IS000000hmTAYAY","03/18/2024T03:19:26.000Z","false","005IS000000hmTAYAY","03/18/2024T03:19:26.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyocYAA","PI-0932","젠북 14 OLED","1.0","","3434fdfdf","false","03/18/2024T03:19:26.000Z"
"0CoIS000000g08H0AQ","005IS000000hmTAYAY","03/18/2024T03:16:14.000Z","false","005IS000000hmTAYAY","03/18/2024T03:16:14.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoNYAQ","PI-0917","2024 그램15","1.0","","jjj88","false","03/18/2024T03:16:14.000Z"
"0CoIS000000g0830AA","005IS000000hmTAYAY","03/18/2024T03:15:02.000Z","false","005IS000000hmTAYAY","03/18/2024T03:15:02.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyodYAA","PI-0902","2024 그램16","1.0","","123qsdsdsd","false","03/18/2024T03:15:02.000Z"
"0CoIS000000g0840AA","005IS000000hmTAYAY","03/18/2024T03:15:02.000Z","false","005IS000000hmTAYAY","03/18/2024T03:15:02.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyodYAA","PI-0903","2024 그램16","1.0","","123qefgfgfgfg","false","03/18/2024T03:15:02.000Z"
"0CoIS000000g08A0AQ","005IS000000hmTAYAY","03/18/2024T03:17:34.000Z","false","005IS000000hmTAYAY","03/18/2024T03:17:34.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoNYAQ","PI-0925","2024 그램15","1.0","","12aaccxc","false","03/18/2024T03:17:34.000Z"
"0CoIS000000g08B0AQ","005IS000000hmTAYAY","03/18/2024T03:17:34.000Z","false","005IS000000hmTAYAY","03/18/2024T03:17:34.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoNYAQ","PI-0926","2024 그램15","1.0","","12aaccxcb","false","03/18/2024T03:17:34.000Z"
"0CoIS000000fzCp0AI","005IS000000heJ9YAI","03/05/2024T01:53:21.000Z","false","005IS000000heJ9YAI","03/05/2024T01:53:21.000Z","","","131IS000000wn7mYAA","005IS000000heJ9YAI","01tIS000000hyoXYAQ","PI-0001","2023 그램15","1.0","","123","false","03/05/2024T01:53:21.000Z"
"0CoIS000000fznd0AA","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoJYAQ","PI-0340","아이디어패드 Slim1","1.0","","467rf4","false","03/14/2024T11:52:28.000Z"
"0CoIS000000fzne0AA","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoJYAQ","PI-0341","아이디어패드 Slim1","1.0","","46755ssdfd","false","03/14/2024T11:52:28.000Z"
"0CoIS000000fznf0AA","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoIYAQ","PI-0342","아이디어패드 Slim3","1.0","","56785j23frt","false","03/14/2024T11:52:28.000Z"
"0CoIS000000fzng0AA","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoIYAQ","PI-0343","아이디어패드 Slim3","1.0","","4567465jjhfd","false","03/14/2024T11:52:28.000Z"
"0CoIS000000fznh0AA","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:28.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoIYAQ","PI-0344","아이디어패드 Slim3","1.0","","5467utyhd4","false","03/14/2024T11:52:28.000Z"
"0CoIS000000fzni0AA","005IS000000hmTKYAY","03/14/2024T11:52:29.000Z","false","005IS000000hmTKYAY","03/14/2024T11:52:29.000Z","","","131IS000000wn7mYAA","005IS000000hmTKYAY","01tIS000000hyoeYAA","PI-0345","키보드 GK893B","1.0","","345g1erf","false","03/14/2024T11:52:29.000Z"
"0CoIS000000fzja0AA","005IS000000hmTAYAY","03/14/2024T11:08:59.000Z","false","005IS000000hmTAYAY","03/14/2024T11:08:59.000Z","","","131IS000000wn7mYAA","005IS000000hmTAYAY","01tIS000000hyoVYAQ","PI-0120","키보드 K560","1.0","","444444","false","03/14/2024T11:08:59.000Z"
"0CoIS000000fzkx0AA","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","false","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyoWYAQ","PI-0189","키보드 CK01","1.0","","df2e34","false","03/14/2024T11:19:09.000Z"
"0CoIS000000fzky0AA","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","false","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyoYYAQ","PI-0190","키보드 F99","1.0","","124zdf","false","03/14/2024T11:19:09.000Z"
"0CoIS000000fzkz0AA","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","false","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyoZYAQ","PI-0191","키보드 G413","1.0","","123asf","false","03/14/2024T11:19:09.000Z"
"0CoIS000000fzl00AA","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","false","005IS000000hmLtYAI","03/14/2024T11:19:09.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyoeYAA","PI-0192","키보드 GK893B","1.0","","gf2342","false","03/14/2024T11:19:09.000Z"
"0CoIS000000fzl10AA","005IS000000hmLtYAI","03/14/2024T11:19:10.000Z","false","005IS000000hmLtYAI","03/14/2024T11:19:10.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyoVYAQ","PI-0193","키보드 K560","1.0","","fgwq24","false","03/14/2024T11:19:10.000Z"
"0CoIS000000fzl20AA","005IS000000hmLtYAI","03/14/2024T11:20:30.000Z","false","005IS000000hmLtYAI","03/14/2024T11:20:30.000Z","","","131IS000000wn7mYAA","005IS000000hmLtYAI","01tIS000000hyomYAA","PI-0197","마우스 M1300QB","1.0","","fg353","false","03/14/2024T11:20:30.000Z"
"0CoIS000000fzm20AA","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","false","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyocYAA","PI-0248","젠북 14 OLED","1.0","","34444","false","03/14/2024T11:32:41.000Z"
"0CoIS000000fzm30AA","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","false","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyocYAA","PI-0249","젠북 14 OLED","1.0","","4443","false","03/14/2024T11:32:41.000Z"
"0CoIS000000fzm40AA","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","false","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyocYAA","PI-0250","젠북 14 OLED","1.0","","443444","false","03/14/2024T11:32:41.000Z"
"0CoIS000000fzm50AA","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","false","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyocYAA","PI-0251","젠북 14 OLED","1.0","","55555","false","03/14/2024T11:32:41.000Z"
"0CoIS000000fzm60AA","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","false","005IS000000hmLyYAI","03/14/2024T11:32:41.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyocYAA","PI-0252","젠북 14 OLED","1.0","","55555566","false","03/14/2024T11:32:41.000Z"
"0CoIS000000fzmX0AQ","005IS000000hmLyYAI","03/14/2024T11:38:35.000Z","false","005IS000000hmLyYAI","03/14/2024T11:38:35.000Z","","","131IS000000wn7mYAA","005IS000000hmLyYAI","01tIS000000hyomYAA","PI-0279","마우스 M1300QB","1.0","","432","false","03/14/2024T11:38:35.000Z"
